skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
Prosjektarbeid,4,169,0.04597701149425287,0.0169,2.7205332245120046
Prosjektingeniør,1,54,0.011494252873563218,0.0054,2.1285653469561514
Prosjektledelse,1,446,0.011494252873563218,0.0446,0.2577186742951394
Prosjektleder,1,243,0.011494252873563218,0.0243,0.4730145215458115
Prototyping,1,16,0.011494252873563218,0.0016,7.183908045977011
Public Affairs,1,2,0.011494252873563218,0.0002,57.47126436781609
Python,24,66,0.27586206896551724,0.0066,41.797283176593524
R,1,5,0.011494252873563218,0.0005,22.988505747126435
Rapportering,2,142,0.022988505747126436,0.0142,1.618908855431439
React Native,1,2,0.011494252873563218,0.0002,57.47126436781609
Regnskap,1,222,0.011494252873563218,0.0222,0.5177591384487936
Reservoar,1,4,0.011494252873563218,0.0004,28.735632183908045
Reservoaringeniør,1,2,0.011494252873563218,0.0002,57.47126436781609
Risikohåndtering,1,3,0.011494252873563218,0.0003,38.31417624521073
Risikostyring,2,40,0.022988505747126436,0.004,5.747126436781609
Robotikk,1,10,0.011494252873563218,0.001,11.494252873563218
Rotasjonsordning,1,1,0.011494252873563218,0.0001,114.94252873563218
Rotasjonsutstyr,1,2,0.011494252873563218,0.0002,57.47126436781609
Rådgiver,3,472,0.034482758620689655,0.0472,0.7305669199298656
Rådgivning,2,173,0.022988505747126436,0.0173,1.3288153611055744
SQL,7,39,0.08045977011494253,0.0039,20.6307102858827
STEP 7,1,1,0.011494252873563218,0.0001,114.94252873563218
SaaS,2,18,0.022988505747126436,0.0018,12.77139208173691
Salg,3,981,0.034482758620689655,0.0981,0.35150620408450206
Samfunnsanalyse,2,13,0.022988505747126436,0.0013,17.68346595932803
Samsvar,1,2,0.011494252873563218,0.0002,57.47126436781609
Selger,1,238,0.011494252873563218,0.0238,0.4829518014102192
Senior Data Scientist,1,1,0.011494252873563218,0.0001,114.94252873563218
Seniorkonsulent,2,30,0.022988505747126436,0.003,7.662835249042145
Seniorutvikler,2,5,0.022988505747126436,0.0005,45.97701149425287
Siemens TIA Portal,1,1,0.011494252873563218,0.0001,114.94252873563218
Sikkerhetsingeniør,1,4,0.011494252873563218,0.0004,28.735632183908045
Sikkerhetsrammeverk,1,1,0.011494252873563218,0.0001,114.94252873563218
Sikkerhetsstandarder,1,1,0.011494252873563218,0.0001,114.94252873563218
Simulering,1,14,0.011494252873563218,0.0014,8.210180623973727
Sivilingeniør,1,24,0.011494252873563218,0.0024,4.789272030651341
Sjefsingeniør,1,1,0.011494252873563218,0.0001,114.94252873563218
Skadebehandling,1,5,0.011494252873563218,0.0005,22.988505747126435
Skole,1,272,0.011494252873563218,0.0272,0.4225828262339419
Sky,1,8,0.011494252873563218,0.0008,14.367816091954023
Skyplattform,1,8,0.011494252873563218,0.0008,14.367816091954023
Skyteknologi,2,5,0.022988505747126436,0.0005,45.97701149425287
Skyutvikling,2,5,0.022988505747126436,0.0005,45.97701149425287
Smidig metodikk,1,10,0.011494252873563218,0.001,11.494252873563218
Språkmodell,1,1,0.011494252873563218,0.0001,114.94252873563218
Stakeholder management,1,2,0.011494252873563218,0.0002,57.47126436781609
Statistikk,11,44,0.12643678160919541,0.0044,28.73563218390805
