job_id,skill,title,category,city,esco_uri,esco_label,match_method
46bdd6ac-b00a-4855-9922-e7ad750f0d10,Java,Senior Konsulent / Senior Rådgiver -- Energy Components,"Systemanalytikere/-arkitekter, Seniorrådgiver (IT), IKT-konsulent",TRONDHEIM,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java,exact
cf201dc9-0f25-4e15-8d36-5493af6122d5,Elektronikk,Elkjøp Nittedal søker Superselger,"Selger, Selger, Butikkmedarbeidere",NITTEDAL,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
5de5c6c4-d93d-4a38-853c-a08ba8d88fcc,Elektronikk,Elkjøp Fana søker Selger (deltid 20-30%),"Sales Advisor, Andre salgsmedarbeidere",RÅDAL,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
783a31bd-8d70-4750-abe4-d140e3b2cf91,IT,Utvikler,"Systemanalytikere/-arkitekter, IKT-systemutvikler, Systemutvikler",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
783a31bd-8d70-4750-abe4-d140e3b2cf91,Java,Utvikler,"Systemanalytikere/-arkitekter, IKT-systemutvikler, Systemutvikler",OSLO,http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java,exact
783a31bd-8d70-4750-abe4-d140e3b2cf91,PostgreSQL,Utvikler,"Systemanalytikere/-arkitekter, IKT-systemutvikler, Systemutvikler",OSLO,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996,PostgreSQL,exact
3bd12f77-b8d3-4ca0-bfa7-6b26d871455f,Elektronikk,Bli med på å utvikle teknologi som må fungere når det virkelig gjelder!,"Elektronikkingeniører, Utviklingsingeniør elektronikk og telekommunikasjon, Utviklingsingeniør elektronikk og telekommunikasjon",TAU,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
704fa46f-6d1c-4666-a56c-3b298e76d65a,SAP,Bli vår nye Business controller,"Finans- og investeringsrådgivere, Business Controller, Business Controller",STATHELLE,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact
9675996c-274d-4a0b-ad98-27ba9126c3fb,Digitalisering,Colosseum Tannlege søker senior regnskapskonsulent,"Regnskapsmedarbeidere, Senior regnskapskonsulent, Senior regnskapskonsulent",OSLO,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
7988fb32-e1bb-44dc-9f37-4f6ff0c57004,SAP,Vil du jobbe med regnskap og analyse i et av verdens ledende teknologimiljøer innen fiberopptikk og subsea-løsninger?,"Finansrådgiver, Finansrådgiver, Finans- og investeringsrådgivere",TILLER,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact
