city,skill,job_count,city_total_skill_mentions,city_total_jobs,skill_share,job_share
ALTA,Butikk på hjul,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikkarbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikkdrift,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikkleder,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikkmedarbeider,13,617,64,0.02106969205834684,0.203125
ALTA,Butikkpresentasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikkselger,1,617,64,0.0016207455429497568,0.015625
ALTA,Butikksjef,1,617,64,0.0016207455429497568,0.015625
ALTA,Bygg og anlegg,2,617,64,0.0032414910858995136,0.03125
ALTA,Byggdrift,1,617,64,0.0016207455429497568,0.015625
ALTA,Byggeplass,2,617,64,0.0032414910858995136,0.03125
ALTA,Byggesak,2,617,64,0.0032414910858995136,0.03125
ALTA,Byggesaksbehandler,1,617,64,0.0016207455429497568,0.015625
ALTA,Byggteknikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Båt,2,617,64,0.0032414910858995136,0.03125
ALTA,Båtmann,2,617,64,0.0032414910858995136,0.03125
ALTA,Daglig leder,1,617,64,0.0016207455429497568,0.015625
ALTA,Dagligvare,3,617,64,0.004862236628849271,0.046875
ALTA,Deltidsjobb,1,617,64,0.0016207455429497568,0.015625
ALTA,Detaljhandel,4,617,64,0.006482982171799027,0.0625
ALTA,Diagnostikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Dieselmotor,1,617,64,0.0016207455429497568,0.015625
ALTA,Digitalisering,1,617,64,0.0016207455429497568,0.015625
ALTA,Direktør,1,617,64,0.0016207455429497568,0.015625
ALTA,Dokumentasjon,2,617,64,0.0032414910858995136,0.03125
ALTA,Dokumentasjonsforvaltning,1,617,64,0.0016207455429497568,0.015625
ALTA,Drift,1,617,64,0.0016207455429497568,0.015625
ALTA,Drift av butikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Driftstekniker,2,617,64,0.0032414910858995136,0.03125
ALTA,Ekspeditør,1,617,64,0.0016207455429497568,0.015625
ALTA,Ekstrahjelp,3,617,64,0.004862236628849271,0.046875
ALTA,Elektriker,2,617,64,0.0032414910858995136,0.03125
ALTA,Elektriske installasjoner,1,617,64,0.0016207455429497568,0.015625
ALTA,Elektro,2,617,64,0.0032414910858995136,0.03125
ALTA,Elektroinstallasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Etterforsker,1,617,64,0.0016207455429497568,0.015625
ALTA,Etterforskning,2,617,64,0.0032414910858995136,0.03125
ALTA,Etterforskningsfag,1,617,64,0.0016207455429497568,0.015625
ALTA,Etterforskningsleder,1,617,64,0.0016207455429497568,0.015625
ALTA,FDV,1,617,64,0.0016207455429497568,0.015625
ALTA,FSE,1,617,64,0.0016207455429497568,0.015625
ALTA,Fabrikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Fagansvarlig,1,617,64,0.0016207455429497568,0.015625
ALTA,Fagbrev,3,617,64,0.004862236628849271,0.046875
ALTA,Faglig ansvar,1,617,64,0.0016207455429497568,0.015625
ALTA,Fastlege,1,617,64,0.0016207455429497568,0.015625
ALTA,Feilsøking,3,617,64,0.004862236628849271,0.046875
ALTA,Felttekniker,1,617,64,0.0016207455429497568,0.015625
ALTA,Ferdighetssertifikat,1,617,64,0.0016207455429497568,0.015625
ALTA,Firebase,1,617,64,0.0016207455429497568,0.015625
ALTA,Fiskeforedling,1,617,64,0.0016207455429497568,0.015625
ALTA,Fleksibel jobb,1,617,64,0.0016207455429497568,0.015625
ALTA,Folkehelse,1,617,64,0.0016207455429497568,0.015625
ALTA,Forebyggende arbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Forsikring,1,617,64,0.0016207455429497568,0.015625
ALTA,Forsikringsrådgiver,1,617,64,0.0016207455429497568,0.015625
ALTA,Friluftsliv,1,617,64,0.0016207455429497568,0.015625
ALTA,Frontend,2,617,64,0.0032414910858995136,0.03125
ALTA,Fullstack,2,617,64,0.0032414910858995136,0.03125
ALTA,Fødselslege,1,617,64,0.0016207455429497568,0.015625
ALTA,Følge på aktiviteter,1,617,64,0.0016207455429497568,0.015625
ALTA,Førstekonsulent,1,617,64,0.0016207455429497568,0.015625
ALTA,Garn,1,617,64,0.0016207455429497568,0.015625
ALTA,Gudstjeneste,1,617,64,0.0016207455429497568,0.015625
ALTA,Gynekolog,1,617,64,0.0016207455429497568,0.015625
ALTA,Gynekologi,1,617,64,0.0016207455429497568,0.015625
ALTA,HMS,3,617,64,0.004862236628849271,0.046875
ALTA,HR,1,617,64,0.0016207455429497568,0.015625
ALTA,HR-jurist,1,617,64,0.0016207455429497568,0.015625
ALTA,Handel,1,617,64,0.0016207455429497568,0.015625
ALTA,Helgejobb,1,617,64,0.0016207455429497568,0.015625
ALTA,Helse,6,617,64,0.009724473257698542,0.09375
ALTA,Helsefagarbeider,1,617,64,0.0016207455429497568,0.015625
ALTA,Helsevesen,1,617,64,0.0016207455429497568,0.015625
ALTA,Hjemmehjelp,2,617,64,0.0032414910858995136,0.03125
ALTA,Hjemmetjeneste,3,617,64,0.004862236628849271,0.046875
ALTA,Hobby,1,617,64,0.0016207455429497568,0.015625
ALTA,Hobbybutikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Hotell,2,617,64,0.0032414910858995136,0.03125
ALTA,Hurtigbåt,4,617,64,0.006482982171799027,0.0625
ALTA,Husarbeid,2,617,64,0.0032414910858995136,0.03125
ALTA,Husvert,1,617,64,0.0016207455429497568,0.015625
ALTA,Husøkonom,1,617,64,0.0016207455429497568,0.015625
ALTA,Hygiene,2,617,64,0.0032414910858995136,0.03125
ALTA,IKT-kompetanse,1,617,64,0.0016207455429497568,0.015625
ALTA,IT-drift,1,617,64,0.0016207455429497568,0.015625
ALTA,IT-support,1,617,64,0.0016207455429497568,0.015625
ALTA,IT-tekniker,1,617,64,0.0016207455429497568,0.015625
ALTA,Idrett,1,617,64,0.0016207455429497568,0.015625
ALTA,Industri,2,617,64,0.0032414910858995136,0.03125
ALTA,Installasjon,2,617,64,0.0032414910858995136,0.03125
ALTA,Institusjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Internkontroll,1,617,64,0.0016207455429497568,0.015625
ALTA,Isbil,2,617,64,0.0032414910858995136,0.03125
ALTA,Jeans,1,617,64,0.0016207455429497568,0.015625
ALTA,Journalføring,1,617,64,0.0016207455429497568,0.015625
ALTA,Juridisk,1,617,64,0.0016207455429497568,0.015625
ALTA,Juridisk saksbehandling,1,617,64,0.0016207455429497568,0.015625
ALTA,Jurist,1,617,64,0.0016207455429497568,0.015625
ALTA,Jus,1,617,64,0.0016207455429497568,0.015625
ALTA,Kapellan,1,617,64,0.0016207455429497568,0.015625
ALTA,Kasse,11,617,64,0.017828200972447326,0.171875
ALTA,Kirke,1,617,64,0.0016207455429497568,0.015625
ALTA,Kjøkken,1,617,64,0.0016207455429497568,0.015625
ALTA,Klagebehandling,1,617,64,0.0016207455429497568,0.015625
ALTA,Klesbutikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Klinikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Klinisk arbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Kollektivtransport,1,617,64,0.0016207455429497568,0.015625
ALTA,Kommunal forvaltning,1,617,64,0.0016207455429497568,0.015625
ALTA,Kommunal helse,1,617,64,0.0016207455429497568,0.015625
ALTA,Kommunal sektor,1,617,64,0.0016207455429497568,0.015625
ALTA,Kommunalteknikk,1,617,64,0.0016207455429497568,0.015625
ALTA,Konfirmantarbeid,1,617,64,0.0016207455429497568,0.015625
ALTA,Kontor,3,617,64,0.004862236628849271,0.046875
ALTA,Korttidsavdeling,1,617,64,0.0016207455429497568,0.015625
ALTA,Kriminalitet,1,617,64,0.0016207455429497568,0.015625
ALTA,Kundebehandling,6,617,64,0.009724473257698542,0.09375
ALTA,Kundeopplevelse,2,617,64,0.0032414910858995136,0.03125
ALTA,Kundesalg,1,617,64,0.0016207455429497568,0.015625
ALTA,Kundeservice,16,617,64,0.02593192868719611,0.25
ALTA,Kundeserviceferdigheter,1,617,64,0.0016207455429497568,0.015625
ALTA,Kvalitetskontroll,1,617,64,0.0016207455429497568,0.015625
ALTA,Lager,3,617,64,0.004862236628849271,0.046875
ALTA,Lageransvarlig,1,617,64,0.0016207455429497568,0.015625
ALTA,Lagerdrift,1,617,64,0.0016207455429497568,0.015625
ALTA,Lagerkontroll,1,617,64,0.0016207455429497568,0.015625
ALTA,Lagerleder,1,617,64,0.0016207455429497568,0.015625
ALTA,Lagerstyring,1,617,64,0.0016207455429497568,0.015625
ALTA,Langvakter,1,617,64,0.0016207455429497568,0.015625
ALTA,Ledelse,4,617,64,0.006482982171799027,0.0625
ALTA,Leder,6,617,64,0.009724473257698542,0.09375
ALTA,Lege,2,617,64,0.0032414910858995136,0.03125
ALTA,Legekontor,1,617,64,0.0016207455429497568,0.015625
