skill,job_count
Konfirmantarbeid,16
Paramedisiner,16
Fagbrev elektriker,16
Yrkessjåfør,16
Direktesalg,16
Mikrobiologi,16
Personalledelse,16
Sjømat,16
Rådgivende ingeniør,15
Terminal,15
ADL,15
Fysisk aktivitet,15
matlaging,15
Salgsingeniør,15
Teknisk prosjekt,15
Maskinteknikk,15
CNC-operatør,15
Fengselsbetjent,15
Barne- og ungdomspsykiatri,15
Barneassistent,15
Renovasjon,15
Prosjektutvikling,15
Teknisk avdeling,15
Samfunnsøkonomi,15
DIPS,15
Politiattest,15
Politistasjon,15
Høyspent,15
Kjøreseddel,15
CAD,15
Prosjektmedarbeider,15
ingeniør,15
Frivillighet,15
Kybernetikk,15
Kvalitetssystem,15
Dokumenthåndtering,15
Kommersiell,15
Teater,15
forskning,15
Passasjertransport,15
Kundeutvikling,15
Dirigering,15
Fagbrev renhold,15
Adgangskontroll,15
Motivasjon,15
Kurs,15
Epilepsi,15
Kontraktsoppfølging,15
Oppdrett,15
Operativ ledelse,15
Overvåkning,15
Helseleder,15
Kotlin,15
Næringsmiddel,15
Burger,15
Maler,15
Teknisk vedlikehold,14
Førsteamanuensis,14
Flislegger,14
Funksjonsnedsettelse,14
Barn og ungdom,14
Utlevering,14
Uteliv,14
Utrykning,14
Fundraiser,14
Bussjåfør,14
Vakthold,14
Digital utvikling,14
Somatisk avdeling,14
Optiker,14
Salgsledelse,14
Sikkerhetsrådgiver,14
Ungdomsarbeider,14
Sikkerhetsstyring,14
Simulering,14
Dekk,14
Kriminalomsorg,14
Biologi,14
brukerstyrt personlig assistanse,14
Kontraktsrett,14
Oppussing,14
Innsamling,14
No skills listed,14
Onboarding,14
teknologi,14
Kjøretøy,14
Familieterapi,14
Serviceledelse,14
Lede bil,14
Mekatronikk,14
Landbruksmekaniker,14
Lasting og lossing,14
Kassearbeid,14
Brannsikkerhet,14
Prosessoperatør,14
Inspektør,14
Support,14
Gynekologi,14
Lederstøtte,14
Dyrebutikk,14
Rusomsorg,14
Løsningsarkitekt,14
Kafemedarbeider,14
React,14
regnskap,14
Cloud,14
Forflytning,14
Sentralbord,14
Kalkulasjon,14
Personal,14
Matinteresse,14
Strategisk innkjøp,14
Byggeledelse,14
Byggeleder,14
Læringsmiljø,14
Sveising,14
Hårpleie,14
Investering,14
Møbler,14
Barnebolig,14
Svennebrev,14
Utviklingsprosjekt,13
Ungdomsskole,13
Sjukehus,13
Ekspedering,13
Røntgen,13
Økonomiavdeling,13
Butikk på hjul,13
Molekylærbiologi,13
Dataingeniør,13
Digital kommunikasjon,13
SCADA,13
Frukt og grønt,13
Rettsvitenskap,13
Konstruksjonsteknikk,13
Helsesenter,13
Bilsjåfør,13
offentlig forvaltning,13
Testingeniør,13
Sales Manager,13
brukerstøtte,13
Operativ leder,13
Slakteri,13
Bioteknologi,13
Vernepleierstudent,13
Materialteknologi,13
Matbutikk,13
Fosterhjem,13
Gjesteopplevelse,13
Ekstrajobb,13
Godstransport,13
Gravemaskin,13
Straffesak,13
Maskiningeniør,13
Stab,13
Samfunnsplanlegging,13
Inspeksjon,13
Integrasjon,13
Menighetsarbeid,13
Statsautorisert regnskapsfører,13
Mekanikk,13
Vareflyt,13
Avdelingsdirektør,13
Klargjøring,13
hjemmebasert omsorg,13
Alderspsykiatri,13
Lakkering,13
Toppleder,13
infrastruktur,13
Ambulant team,13
Lagerarbeider,13
Redning,13
Kommunal,13
Databaser,13
Sparkling,13
Miljøtjeneste,13
Kvalitetsleder,13
Faktura,13
Sårstell,13
Medisinsk biokjemi,13
Helse- og sosialfag,13
Helseassistent,13
Anbud,13
Kulturskole,13
Barnehageleder,13
Teknisk ansvar,13
Plukk og pakk,13
Plukk,13
Platearbeider,13
Tannpleier,13
Høgskole,13
Lean,13
Politioverbetjent,13
Politiarbeid,13
Salgserfaring,13
Byggesaksbehandler,13
Bibliotekar,13
Menyutvikling,13
Kampanje,13
Samfunnsanalyse,13
Byggteknikk,13
Barnehagestyrer,13
Kaffebar,13
Kunderelasjoner,13
A la carte,12
Økonomisk rådgivning,12
Fundraising,12
Fysioterapi,12
Risiko,12
Norsk,12
Bilsalg,12
Kriminalitet,12
sikkerhet,12
Konseptutvikling,12
Virksomhetsleder,12
Kunst,12
HR-leder,12
E-post,12
Juss,12
Digital sikkerhet,12
Vaskeri,12
Operativ tjeneste,12
Kriminalitetsforebygging,12
Dekksoffiser,12
Ordenssans,12
endringsledelse,12
Sosiale tjenester,12
Sosialfaglig arbeid,12
Skipsfører,12
Informasjonsarbeid,12
Operativ drift,12
Omsorgstjeneste,12
Småbarnsavdeling,12
Sko,12
Utstilling,12
Publikumsmottak,12
Konditor,12
Byggherre,12
Tunnel,12
Psykisk utviklingshemming,12
Hjullaster,12
Vannkraft,12
Vaktleder,12
Miljøveileder,12
Kommunalsjef,12
Porteføljeforvaltning,12
Kollektivtransport,12
Servicebil,12
B2C,12
