job_id,skill,title,category,city,esco_uri,esco_label,match_method,retrieval_score,rerank_score,rerank_margin
a825eb9e-e44f-4648-ab14-6eed61a98982,Systemutvikling,Prosjektleder,"Prosjektleder, Prosjektleder, Andre administrative ledere",KONGSBERG,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,dataprogrammering,digital_consensus,0.6049041152000427,0.9194501638412476,0.19810181856155396
b003a5c6-6639-45e4-943e-3e1c7ab63bda,Digitalisering,"Rådgiver, Prosjektleder","Høyere saksbehandlere i offentlig og privat virksomhet, Prosjektleder offentlig sektor, Systemanalytikere/-arkitekter, Digitaliseringsrådgiver, IKT-rådgivere, Friluftsfaglig rådgiver/ prosjektleder, Friluftsfaglig rådgiver/ prosjektleder, Sports- og aktivitetsinstruktører",SARPSBORG,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact,,1.0,
c52f460d-f780-472f-a738-404168ee8219,ERP,Lyst til å jobbe med økonomi i Forsvaret?,"Revisorer, regnskapsrådgivere, Controller, Finans- og investeringsrådgivere, Økonomisk rådgiver, økonomisk rådgiver",BODØ,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportprogramvare relatert til et ERP-system,digital_consensus,0.5528852343559265,0.9972111582756042,0.9701170120388269
c52f460d-f780-472f-a738-404168ee8219,SAP,Lyst til å jobbe med økonomi i Forsvaret?,"Revisorer, regnskapsrådgivere, Controller, Finans- og investeringsrådgivere, Økonomisk rådgiver, økonomisk rådgiver",BODØ,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact,,1.0,
da5318a9-1845-405d-9526-19ba7a5631a5,ERP,Lyst til å jobbe med økonomi i Forsvaret?,"Rådgivere/forskere, samfunnsøkonomi, Siviløkonom, økonom",BARDUFOSS,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportprogramvare relatert til et ERP-system,digital_consensus,0.5528852343559265,0.9972111582756042,0.9701170120388269
da5318a9-1845-405d-9526-19ba7a5631a5,SAP,Lyst til å jobbe med økonomi i Forsvaret?,"Rådgivere/forskere, samfunnsøkonomi, Siviløkonom, økonom",BARDUFOSS,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact,,1.0,
e2791a61-fdea-48b3-b34a-ece1c18edd44,Business analytics,Motiveres du av å gjøre ting litt bedre – hver dag? ,"Supply Chain Konsulent, Supply Chain Konsulent, Logistikkmedarbeidere",KONGSBERG,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,analyse av forretningsdata,digital_consensus,0.5423995852470398,0.9987637996673584,0.996292854193598
e2791a61-fdea-48b3-b34a-ece1c18edd44,ERP,Motiveres du av å gjøre ting litt bedre – hver dag? ,"Supply Chain Konsulent, Supply Chain Konsulent, Logistikkmedarbeidere",KONGSBERG,http://data.europa.eu/esco/skill/09f4c52b-ac72-4f0e-a8ae-78bb1d7bffba,transportprogramvare relatert til et ERP-system,digital_consensus,0.5528852343559265,0.9972111582756042,0.9701170120388269
e418b5d8-ecd2-482b-a591-fc2111b72913,IT,Vil du bli med på vårt lag å utvikle løsninger som skal sikre at vi håndterer dagens/morgendags utfordringer?,"Høyere saksbehandlere i offentlig og privat virksomhet, Rådgiver (offentlig administrasjon), Høyere saksbehandlere i offentlig og privat virksomhet",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact,,1.0,
e418b5d8-ecd2-482b-a591-fc2111b72913,Produktutvikling,Vil du bli med på vårt lag å utvikle løsninger som skal sikre at vi håndterer dagens/morgendags utfordringer?,"Høyere saksbehandlere i offentlig og privat virksomhet, Rådgiver (offentlig administrasjon), Høyere saksbehandlere i offentlig og privat virksomhet",OSLO,http://data.europa.eu/esco/skill/4f6b656a-54d0-48ce-9b55-ebcac5904a14,håndtere geospatiale teknologier,digital_consensus,0.6504983901977539,0.9169093370437622,0.013612568378448486
